source_concept_id,source_uuid,target_concept_id,target_uuid,equivalence,policy_bucket,source_record_examples
106,be37cc1c-1691-11df-97a5-7038c432aabf,3632,106AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
107,be37ce22-1691-11df-97a5-7038c432aabf,55849,107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
108,be37d02c-1691-11df-97a5-7038c432aabf,1033,108AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
109,be37d229-1691-11df-97a5-7038c432aabf,55820,109AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
110,be37d42e-1691-11df-97a5-7038c432aabf,55802,110AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
111,be37d62b-1691-11df-97a5-7038c432aabf,55104,111AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
112,be37d831-1691-11df-97a5-7038c432aabf,3071,112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
113,be37da2e-1691-11df-97a5-7038c432aabf,3009,113AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
114,be37dc2f-1691-11df-97a5-7038c432aabf,52639,114AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
115,be37de28-1691-11df-97a5-7038c432aabf,51858,115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
116,be37e02d-1691-11df-97a5-7038c432aabf,51038,116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
117,be37e22a-1691-11df-97a5-7038c432aabf,50197,117AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
118,be3f7ebd-1691-11df-97a5-7038c432aabf,49214,118AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
119,be3f80f2-1691-11df-97a5-7038c432aabf,48270,119AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
120,be3f8250-1691-11df-97a5-7038c432aabf,47298,120AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
121,be3f83ab-1691-11df-97a5-7038c432aabf,1002,121AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
122,be3f8568-1691-11df-97a5-7038c432aabf,45408,122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
123,be3f86fa-1691-11df-97a5-7038c432aabf,44554,123AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
124,be3f8869-1691-11df-97a5-7038c432aabf,1136,124AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
125,be3f89c0-1691-11df-97a5-7038c432aabf,41602,125AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
126,be3f8b0d-1691-11df-97a5-7038c432aabf,40093,126AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
127,be3f8c93-1691-11df-97a5-7038c432aabf,38543,127AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
128,be3f8dcb-1691-11df-97a5-7038c432aabf,37010,128AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
129,be3f8f07-1691-11df-97a5-7038c432aabf,35886,129AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
